Site,Col_Company,Col_Recruit,Col_detail,Col_url
Saramin,(주)미리디,[미리디] 데이터 분석가 (Data Analyst),"[서울 구로구, 경력 3~7년, 학력무관, 정규직]",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53105169&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=b34af39d-6e94-472c-8a18-be377e1be48e
Saramin,(주)에스피파트너스,AI·빅데이터 분석 및 컨설팅 신입·경력 채용,"[경기 수원시 영통구, 신입·경력, 대졸↑, 정규직]",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52799426&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=b34af39d-6e94-472c-8a18-be377e1be48e
Saramin,(주)늘품마루,[늘품마루]물류 프로세스 기획 & 데이터 분석 담당 주임 채용,"[서울 강남구, 신입·경력, 학력무관, 정규직]",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52926011&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=b34af39d-6e94-472c-8a18-be377e1be48e
Saramin,커리어커넥트(주),대형저축은행 플랫폼사업팀원 (제휴서비스/데이터분석 경력자),"[서울 강남구, 경력 5~9년, 대졸↑, 정규직]",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53103139&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=b34af39d-6e94-472c-8a18-be377e1be48e
Saramin,그레이스앤파트너스(주),[외국계 유명 스포츠용품] 데이터분석 & AS팀 팀장급,"[서울 강남구, 경력7년↑, 초대졸↑, 정규직]",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53121753&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=b34af39d-6e94-472c-8a18-be377e1be48e
Saramin,넛지헬스케어(주),[캐시워크] 데이터분석 담당 채용전환형 인턴,"[서울 강남구, 신입, 대졸↑, 인턴직]",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52862566&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=b34af39d-6e94-472c-8a18-be377e1be48e
Saramin,(주)스르르,[데이터 기반 온라인MD] NUVN에서 성과 분석 및 광고 퍼포먼스,"[서울 마포구, 경력무관, 학력무관, 정규직]",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53021385&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=b34af39d-6e94-472c-8a18-be377e1be48e
Saramin,(주)수학에심장을달다,(주)수학에심장을달다 데이터 분석가 정규직 채용,"[서울 강서구, 경력, 학력무관, 정규직]",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53024616&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=b34af39d-6e94-472c-8a18-be377e1be48e
Saramin,콘센트릭스서비스코리아(유),[Catalyst] 데이터 분석(태깅)/기획,"[서울 강남구, 경력 1~10년, 학력무관, 정규직]",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53110895&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=b34af39d-6e94-472c-8a18-be377e1be48e
Saramin,(주)스르르,[온라인MD] NUVN에서 성과/데이터 분석형 MD 구인,"[서울 마포구, 경력무관, 학력무관, 정규직]",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53080352&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=b34af39d-6e94-472c-8a18-be377e1be48e
Saramin,(주)에이치알비즈코리아,"게임 데이터(게임, 마케팅, 웹 로그) 분석/세계적게임사","[경기 성남시 분당구, 경력 7~12년, 대졸↑, 정규직]",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53103786&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=b34af39d-6e94-472c-8a18-be377e1be48e
Saramin,코리아밸리(유),[신입가능]채용 광고 효율 관리 담당자 (데이터 성과 분석) 모집,"[서울 중구, 경력무관, 고졸↑, 정규직]",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53129856&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=b34af39d-6e94-472c-8a18-be377e1be48e
Saramin,넛지헬스케어(주),[캐시워크] 데이터분석가 - 석사/박사,"[서울 강남구, 경력무관, 석사↑, 정규직]",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52862558&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=b34af39d-6e94-472c-8a18-be377e1be48e
Saramin,동호에이치알(주),[동호HR] 영등포 현대캐피탈 데이터 분석 인재 채용(SQL우대),"[서울 영등포구, 경력무관, 고졸↑, 계약직]",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53129032&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=b34af39d-6e94-472c-8a18-be377e1be48e
Saramin,넛지헬스케어(주),[캐시워크] 데이터분석 담당 산업기능요원 (병역특례),"[서울 강남구, 경력무관, 학력무관, 산업기능요원·현역]",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52862624&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=b34af39d-6e94-472c-8a18-be377e1be48e
Saramin,주) 석세스코리아컨설팅,[외국계 자동차 금융] CRM 데이터 분석 (3년~7년),"[서울 구로구, 경력 3~7년, 대졸↑, 정규직]",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53074255&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=b34af39d-6e94-472c-8a18-be377e1be48e
Saramin,리뉴피플 주식회사,빅테크 데이터 분석 실장급 채용,"[서울 강남구, 경력12년↑, 대졸↑, 정규직]",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53116692&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=b34af39d-6e94-472c-8a18-be377e1be48e
Saramin,펑타이그레이터차이나(유),[PTKOREA] 데이터 분석가,"[서울 강남구, 경력 5~9년, 대졸↑, 정규직]",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52832585&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=b34af39d-6e94-472c-8a18-be377e1be48e
Saramin,(주)바이오컴,[AI 헬스케어] 데이터 분석 전문가 채용,"[서울 강서구, 경력5년↑, 대졸↑, 정규직·계약직]",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52854694&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=b34af39d-6e94-472c-8a18-be377e1be48e
Saramin,(주)미리디,[미리디] 시니어 데이터 분석가 (Senior Data Analyst),"[서울 구로구, 경력 7~13년, 학력무관, 정규직]",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53028938&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=b34af39d-6e94-472c-8a18-be377e1be48e
Saramin,삼성서울병원 임상역학연구센터,삼성서울병원 건강보험공단 데이터 분석 위촉연구원 채용합니다.,"[서울 강남구, 신입·경력, 석사↑, 위촉직]",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52813452&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=b34af39d-6e94-472c-8a18-be377e1be48e
Saramin,동호에이치알(주),[동호HR] 서울역 현대캐피탈 본사 데이터 추출 및 분석 채용,"[서울 중구, 경력무관, 고졸↑, 계약직]",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53089641&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=b34af39d-6e94-472c-8a18-be377e1be48e
Saramin,(주)우아한형제들,"딜리버리 데이터 분석가 모집(경력무관, 기간제)","[서울전체, 경력무관, 학력무관, 기간제·계약직]",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53090648&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=b34af39d-6e94-472c-8a18-be377e1be48e
Saramin,(주)우아한형제들,"3PL 운영 데이터 분석가 모집(경력무관, 기간제)","[서울전체, 경력무관, 학력무관, 기간제·계약직]",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53090545&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=b34af39d-6e94-472c-8a18-be377e1be48e
Saramin,(주)리앤파트너,[유명 금융 IT대기업] 비즈니스 데이터 분석 실장,"[서울 서초구, 경력15년↑, 대졸↑, 정규직]",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53087612&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=b34af39d-6e94-472c-8a18-be377e1be48e
Saramin,(주)전북은행,(주)전북은행 데이터 분석 경력직 채용,"[서울 영등포구, 경력3년↑, 대졸↑, 계약직]",www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=53116151&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=b34af39d-6e94-472c-8a18-be377e1be48e
