Site,Col_Company,Col_Recruit,Col_detail,Col_url
Job_Korea,메가박스중앙㈜,메가박스중앙(주) 마케팅 데이터분석 경력사원 채용,"[""신입·인턴"", ""정규직"", ""서울 마포구 월드컵로 240 (성산동, 월드컵주경기장) 경기장 지상 2층(성산동,월드컵주경기장) 메가박스 사무실"", ""월드컵경기장역 에서 300m (도보 4분) 이내"", ""경력"", ""대졸이상"", ""서울>마포구"", ""대졸↑"", ""신입·경력"", ""서울 > 마포구"", ""초대졸↑"", ""프리랜서""]",www.jobkorea.co.kr/Recruit/GI_Read/48591017?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=8&sc=630
Job_Korea,㈜에이젝코리아,[일본계/시청역] 마케팅/데이터분석 신입/경력 채용(일본어가능자),"[""신입·인턴"", ""정규직"", ""서울 중구 순화동 216 AIATower(에이아이에이타워)"", ""서울역역 에서 600m (도보 9분) 이내"", ""경력"", ""경력무관"", ""초대졸이상"", ""서울>중구"", ""BTL 대행사 [브리드마케팅] 26년도 경력직(3-5년차) 채용"", ""대졸↑"", ""경력4년↑"", ""서울 > 중구""]",www.jobkorea.co.kr/Recruit/GI_Read/48516628?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=9&sc=630
Job_Korea,㈜네피리티,[(주)네피리티/제주] 데이터분석 및 AI모델 개발 모집,"[""신입·인턴"", ""신입·인턴 채용관"", ""정규직"", ""계약직"", ""(근무기간 3개월, 정규직 전환 가능)"", ""제주 제주시 중앙로 217 (이도이동, 제주벤처마루) 703호"", ""경력"", ""신입·경력"", ""대졸이상"", ""인근거주자, 관련 자격증 보유자, 유관업무 경력자"", ""제주>제주시"", ""학력무관""]",www.jobkorea.co.kr/Recruit/GI_Read/48580986?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=10&sc=630
Job_Korea,㈜무하유,데이터분석 엔지니어 (3년이상),"[""신입·인턴"", ""정규직"", ""서울 성동구 성수일로8길 5 (성수동2가, 서울숲SKV1TOWER) 2층 무하유"", ""서울숲역 에서 700m (도보 10분) 이내"", ""경력"", ""대졸이상"", ""서울>성동구"", ""학력무관"", ""경력1년↑"", ""서울 > 금천구"", ""초대졸↑"", ""신입·경력3년↑""]",www.jobkorea.co.kr/Recruit/GI_Read/48580128?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=11&sc=630
Job_Korea,㈜파오스파트너스,"(주)파오스파트너스 -DB관리, DB생성, DB분석 채용","[""연금 보험 국민연금"", ""고용보험"", ""산재보험"", ""건강보험"", ""퇴직연금 휴무 휴가 행사 주5일제"", ""연차제도"", ""반차제도"", ""포상휴가"", ""출산휴가"", ""육아휴직"", ""노동절 휴무 편의 여가 건강 건강검진"", ""신입·인턴"", ""정규직"", ""서울 용산구 한남대로21길 17 (한남동, 신화빌딩) 5층"", ""경력"", ""경력무관"", ""초대졸이상"", ""우대전공"", ""서울>용산구"", ""학력무관"", ""경력5년↑"", ""서울 > 중구"", ""서울 > 구로구""]",www.jobkorea.co.kr/Recruit/GI_Read/48561076?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=12&sc=630
Job_Korea,㈜싸이트플래닝건축사사무소,도시공학& 데이터분석 공고 모집 (정규직) [부산],"[""연금 보험 국민연금"", ""고용보험"", ""산재보험"", ""건강보험"", ""퇴직연금 휴무 휴가 행사 주5일제"", ""연차제도"", ""정기휴가"", ""경조휴가"", ""반차제도"", ""리프레시 휴가"", ""육아휴직"", ""남성출산휴가"", ""노동절 휴무"", ""워크샵/MT 보상 수당 지원 경조금"", ""인센티브"", ""우수사원 포상제도"", ""도서 구입비 지원"", ""문화생활 지원"", ""신입·인턴"", ""정규직"", ""부산 동구 중앙대로226번길 3-8 (초량동) 9층"", ""부산 1호선"", ""경력"", ""신입·경력"", ""대졸이상"", ""우대전공"", ""부산·울산·경남 지역채용관"", ""부산>동구"", ""대졸↑"", ""경력3년↑""]",www.jobkorea.co.kr/Recruit/GI_Read/48631752?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=13&sc=630
Job_Korea,㈜텔몬,"온라인마케팅, 마케팅기획 관리, 사무보조데이터분석","[""신입·인턴"", ""정규직"", ""서울 금천구 서부샛길 606 (가산동, 대성디폴리스지식산업센터) a동 409호"", ""경력"", ""학력무관"", ""인근거주자, 컴퓨터활용능력 우수자, 통계분석·리서치 능숙자, 프리젠테이션 능력우수자, 문서작성 우수자, 유관업무 경력자(2년), 장기근무 가능자"", ""서울>금천구"", ""경력2년↑"", ""서울 > 금천구"", ""경력무관"", ""경력3년↑"", ""경기 > 안양시 만안구""]",www.jobkorea.co.kr/Recruit/GI_Read/48623072?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=14&sc=630
Job_Korea,㈜맨파워코리아,[광화문] 글로벌 보험사 CS Operation Admin(데이터분석/관리자) 채용,"[""연금 보험 국민연금"", ""고용보험"", ""산재보험"", ""건강보험 휴무 휴가 행사 연차제도"", ""반차제도 보상 수당 지원 연장근로수당"", ""연차수당"", ""신입·인턴"", ""파견직"", ""서울 종로구 세종대로 172 (세종로, 5호선광화문역) 인근"", ""경력"", ""초대졸이상"", ""컴퓨터활용능력 우수자, 엑셀 고급능력 보유자, 문서작성 우수자, 관련 자격증 보유자, 유관업무 경력자(2년), 장기근무 가능자"", ""서울>종로구"", ""학력무관"", ""경력1년↑"", ""서울 > 금천구"", ""경력3년↑"", ""서울 > 동대문구""]",www.jobkorea.co.kr/Recruit/GI_Read/48573564?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=15&sc=630
Job_Korea,㈜네피리티,[(주)네피리티/서울] 데이터분석 및 AI모델 개발 모집,"[""신입·인턴"", ""정규직"", ""계약직"", ""(근무기간 3개월, 정규직 전환 가능)"", ""서울 서초구 강남대로12길 23-4 (양재동, 동방빌딩) 403호"", ""경력"", ""신입·경력"", ""대졸이상"", ""인근거주자, 관련 자격증 보유자, 유관업무 경력자"", ""신입·인턴 채용관"", ""서울>서초구"", ""학력무관""]",www.jobkorea.co.kr/Recruit/GI_Read/48581002?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=16&sc=630
Job_Korea,핫셀러,데이터 분석을 통해 앱 서비스를 성공시킬 기획자 채용,"[""연금 보험 국민연금"", ""고용보험"", ""산재보험"", ""건강보험"", ""퇴직연금 휴무 휴가 행사 주5일제"", ""연차제도"", ""월차제도"", ""경조휴가"", ""반차제도"", ""출산휴가"", ""육아휴직"", ""남성출산휴가"", ""보건휴가"", ""노동절 휴무"", ""공휴일 휴무"", ""사내 이벤트"", ""생일 이벤트"", ""자유로운 휴가문화"", ""주말 휴무 편의 여가 건강 건강검진"", ""점심 식사 지원"", ""저녁 식사 지원"", ""음료/간식 제공"", ""신입·인턴"", ""정규직"", ""서울 동대문구 장한로 6 (장안동) 장안빌딩 605호"", ""경력"", ""학력무관"", ""서울>동대문구"", ""경력1년↑"", ""서울 > 금천구"", ""주식회사 버핏서울"", ""대졸↑"", ""경력7년↑"", ""서울 > 강남구""]",www.jobkorea.co.kr/Recruit/GI_Read/48621640?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=17&sc=630
Job_Korea,글로빛㈜,"[글로빛] 빅데이터분석,AI(머신러닝,딥러닝) 가능한 박사님 모십니다","[""연금 보험 국민연금"", ""고용보험"", ""산재보험"", ""건강보험 휴무 휴가 행사 연차제도 보상 수당 지원 퇴직금"", ""주차 지원"", ""신입·인턴"", ""파이썬,메타분석,박사"", ""프리랜서"", ""서울 서초구 사임당로 174 (서초동, 강남미래타워) 7층"", ""경력"", ""경력무관"", ""대학원(박사)이상"", ""우대전공"", ""서울>서초구"", ""[잇올 본사] 교육 서비스 상품·전략기획 (입시·학습관리) 경력직 채용"", ""대졸↑"", ""경력2년↑""]",www.jobkorea.co.kr/Recruit/GI_Read/48485821?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=18&sc=630
Job_Korea,㈜그라비티,[그라비티] 데이터 분석 인원 경력 채용,"[""연금 보험 상해보험 휴무 휴가 행사 주5일제"", ""경조휴가 편의 여가 건강 출퇴근 셔틀버스"", ""신입·인턴"", ""정규직"", ""서울 마포구 상암동 누리꿈스퀘어 연구개발타워 15층"", ""경력"", ""학력무관"", ""컴퓨터활용능력 우수자, 유관업무 경험자(인턴·알바)"", ""서울>마포구"", ""대졸↑"", ""경력3년↑"", ""서울 > 송파구"", ""경력2년↑"", ""서울전지역, 강남구""]",www.jobkorea.co.kr/Recruit/GI_Read/48596444?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=19&sc=630
Job_Korea,㈜카카오,AML 데이터 분석 담당자 (경력),"[""신입·인턴"", ""정규직"", ""경기도 성남시 분당구 백현동 532 카카오 판교 아지트"", ""경력"", ""인턴"", ""신입"", ""경기>성남시 분당구"", ""[핀테크] 풀스텍 개발자 8년 이상 경력직을 모집합니다."", ""학력무관"", ""경력8년↑"", ""경기 > 성남시 분당구"", ""신입·경력""]",www.jobkorea.co.kr/Recruit/GI_Read/48301579?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&listno=20&sc=630
